COUNTRY
,0,
US,1,
CA,2,
GB,3,
MO,4,
CL,5,
SE,6,
NL,7,
AU,8,
ZA,9,
IE,10,
BE,11,
FI,12,
NZ,13,
KZ,14,
AT,15,
PE,16,
IN,17,
CH,18,
PT,19,
ES,20,
IL,21,
DE,22,
SG,23,
IS,24,
UA,25,
HK,26,
RU,27,
NO,28,
FR,29,
AS,30,
DK,31,
UY,32,
MU,33,
DZ,34,
PK,35,
AR,36,
AF,37,
TH,38,
LU,39,
SA,40,
MV,41,
PL,42,
UM,43,
MY,44,
DO,45,
CZ,46,
IT,47,
KR,48,
CO,49,
MA,50,
MX,51,
PR,52,
QA,53,
JP,54,
WS,55,
RO,56,
LY,57,
AE,58,
BR,59,
CR,60,
GR,61,
HU,62,
AG,63,
LT,64,
IR,65,
AD,66,
SV,67,
VN,68,
CN,69,
ME,70,
RS,71,
AL,72,
SK,73,
BY,74,
CI,75,
SI,76,
MG,77,
PF,78,
PH,79,
TZ,80,
ZW,81,
GT,82,
AX,83,
EE,84,
ST,85,
HR,86,
VI,87,
BH,88,
TV,89,
BN,90,
AQ,91,
JM,92,
TW,93,
BF,94,
BS,95,
EC,96,
LB,97,
KE,98,
NG,99,
PG,100,
TR,101,
SX,102,
NP,103,
BT,104,
ID,105,
TT,106,
UG,107,
ZM,108,
IM,109,
EG,110,
CY,111,
BD,112,
VU,113,
BB,114,
GH,115,
BG,116,
LR,117,
SO,118,
HN,119,
KH,120,
IQ,121,
VE,122,
SD,123,
KW,124,
GY,125,
MT,126,
ET,127,
PA,128,
LK,129,
JO,130,
NI,131,
CONDITION
Rotator cuff injury,0,
Pinched nerve,0,
Shrunken Ulna Nerve,0,
cervical herniated disc,0,
Herniated disk,0,
AC Ligament Injury,0,
Torn meniscus,0,
Herniated disks,0,
Torn Dorsal Calcaneonavicular Ligament,0,
Torn Dorsal Calcaneocuboid Ligament,0,
Bulging Disc,0,
Anal fissure,0,
Herniated disc,0,
Cubital Tunnel,0,
Thoracic Spine Injury,0,
Prolapsed Discs,0,
disc bulges,0,
shoulder labrum tear,0,
pars planitis,0,
pars defect,0,
slipped disk,0,
rotary cuff repair,0,
degenerative disk,0,
failed laminectomy,0,
Pubic Symphysis Dysfunction,0,
bulging discs,0,
ruptured lumbar disc,0,
Posterior cruciate ligament injury,0,
thoracic facet syndrome,0,
anular tears in discs,0,
Transverse myelitis,0,
labrum tear,0,
cervical bulging disc,0,
pars interarticularis fracture,0,
disc prolapse,0,
median arcuate ligament,0,
Median Arcuate Ligament Syndrome,0,
neck stiffness,1,
stiff neck,1,
Pelvic floor dysfunction,1,
neck retraction when breathing,1,
grinding neck,1,
chest tightness,1,
neck tension,1,
pelvic floor tension syndrome,1,
pinched nerves in neck,1,
wry neck,1,
Head pains,1,
neck tightness,1,
lump in neck,1,
Cervical dystonia,1,
neck vein flushing,1,
Pelvic Floor tightness,1,
neck tremor,1,
breast tenderness,1,
Neck Flare,1,
abdominal swelling,1,
neck swelling,1,
headache from neck,1,
rib tightness,1,
Autonomic neuropathy,2,
occipital neuralgia,2,
Trigeminal neuralgia,2,
pudendal neuralgia,2,
Optic neuropathy,2,
neuropathy,2,
Nerve palsy,2,
Optic neuritis,2,
intercostal neuralgia,2,
Neuralgia,2,
ulnar neuropathy,2,
trigeminal neuralgia,2,
PUDENDAL NEUROPATHY,2,
Trigeminal Neuropathy,2,
Postherpetic neuralgia,2,
sciatic,2,
glossopharyngeal neuralgia,2,
trigeminal nerve pain,2,
Atypical Trigeminal Neuralgia,2,
Depression,3,
Anxiety,3,
Impulsivity,3,
Depressed Mood,3,
Inattention,3,
Social anxiety disorder,3,
mood swings,3,
Binge Eating,3,
social anxiety,3,
Chronic anxiety,3,
psychopathy,3,
schizophrenic tendencies,3,
paranoia,3,
Suicide and suicidal thoughts,3,
Mental illness,3,
Dysphoria,3,
Frustration,3,
Teen depression,3,
anger,3,
anger outburst,3,
Suicidal,3,
Mental fatigue,3,
fear,3,
Low mood,3,
Procrastination,3,
Emotional,3,
impulsive,3,
Anxiety attacks,3,
gender dysphoria,3,
guilt,3,
Severe anxiety,3,
Hopelessness,3,
delusions,3,
Morning sadness,3,
negative feelings,3,
Stress mood,3,
Depression/anxiety,3,
Sadness,3,
Mood,3,
Compulsive sexual behavior,3,
Health anxiety,3,
Bad Mood,3,
anxiety heart,3,
hypervigilance,3,
hallucinations,3,
seperation anxiety,3,
Suicidal ideation,3,
Sleep Anxiety,3,
Self Harm Ideations,3,
agitated depression,3,
Child abuse,3,
Separation anxiety,3,
vaginismus,3,
overall mood,3,
anxious,3,
Anxiety and Depression,3,
anxiety or anger inducing migraine,3,
Psychosomatic Illness,3,
decreased mood,3,
Depression and anxiety,3,
Anhedonia,3,
mixed anxiety,3,
Generalized Anxiety,3,
insomnia through anxiety,3,
sleep related emotional disorder,3,
anxiousness,3,
Suicidal thoughts,3,
Cardiomyopathy,4,
Heart disease,4,
Angina,4,
Stroke,4,
Heart arrhythmias,4,
Heart flutters,4,
Congenital heart disease,4,
Left ventricular hypertrophy,4,
Heart failure,4,
Sudden cardiac arrest,4,
Heart Attack Feeling,4,
Heart murmurs,4,
Heart burn,4,
Erectile dysfunction,4,
Pulmonary Arterial Hypertension,4,
Myocardial ischemia,4,
Congenital heart defects,4,
Pulmonary hypertension,4,
super ventricular tachicardia,4,
Dilated cardiomyopathy,4,
Premature ventricular contractions,4,
Hypoplastic left heart syndrome,4,
Arrythmia,4,
Ischemic heart disease,4,
racing heart,4,
Heart blip,4,
Heart valve disease,4,
systolic heart murmur,4,
premature atrial con,4,
Microvascular ischemic Disease,4,
Rapid Heart Rate,4,
Heart Issues,4,
Dysautonomia,5,
Hereditary hemorrhagic telangiectasia,5,
Neurofibromatosis,5,
erythromelalgia,5,
Arthrogryposis,5,
Nemaline Myopathy,5,
Polyneuropathy,5,
Hemochromatosis,5,
Pachyonychia congenita,5,
Porphyria,5,
Cataracts,5,
Urticaria pigmentosa,5,
myopathy,5,
Idiopathic Angioedema,5,
Hereditary Angioedema,5,
multiple hereditary exostoses,5,
deafness,5,
Idiopathic Neuropathy,5,
idiopathic myoclonus,5,
Aniridia,5,
leukoencephalopathy,5,
Microcephaly,5,
schwannomatosis,5,
Congenital myopathies,5,
ichthyosis,5,
Myotonia congenita,5,
Hidradenitis suppurativa,6,
Meralgia paresthetica,6,
Vulvodynia,6,
Lipedema,6,
Coccydynia,6,
Meralgia paraesthetica,6,
Osteitis Pubis,6,
Tracheobronchomalacia,6,
Fibro Pain,6,
arachnoiditis,6,
Hemifacial spasm,6,
fibro,6,
Anhidrosis,6,
Livedo Reticularis,6,
Osteogenesis Imperfecta,6,
osteoid osteoma,6,
Enthesopathy,6,
Fibrodysplasia,6,
fibro symptoms,6,
calcinosis,6,
Glucose Intolerance,7,
Histamine intolerance,7,
Fructose Malabsorption,7,
Lactose intolerance,7,
gluten intolerance,7,
Insulin Resistence,7,
cold intolerance,7,
Insulin Resistance,7,
Fructose intolerance,7,
systemic exertion intolerance disease,7,
Salicylate intolerance,7,
Exercise Intolerance,7,
Alcohol intolerance,7,
Heat Intolerance,7,
Tannin Intolerance,7,
Sulphur intolerance,7,
unspecified cold intolerance,7,
milk intolerance,7,
noise intolerance,7,
Occult Tethered Cord,8,
Peripheral neuropathy,8,
Trapped nerve,8,
Head Injury TBI,8,
spinal problems,8,
Small Fiber Neuropathy,8,
Cerebral palsy,8,
Tethered Cord Syndrome,8,
vocal cord dysfunction,8,
Anterior cutaneous nerve entrapment syndrome,8,
Traumatic brain injury,8,
Spinal cord injury,8,
Peripheral nerve injuries,8,
ACL injury,8,
Ganglion cyst,8,
Autonomic Dysfunction,8,
Vestibular Peripheral Hypofunction,8,
vestibular dysfunction,8,
nervous system dysfunction,8,
Spinal swelling,8,
optical nerve damage,8,
cerbral palsy,8,
Spinal Myoclonus,8,
Spinal cord tumor,8,
brain lesion,8,
cervical spinal stenosis with impingment on c5,8,
spinal fluid leak,8,
Severe rib and spinal dysfunction,8,
Cerebellar hypoplasia,8,
Autonomic Cardiac Neuropathy,8,
Central Sensitization,8,
Central Nervous System Vasculitis,8,
Brachial plexus injury,8,
pelvic dysfunction,8,
sudomotor dysfunction,8,
Lumbar Dysfuction,8,
nerve damage,8,
Atrophy,8,
spinal s,8,
Acoustic neuroma,8,
Spinal Muscular Atrophy,8,
Pain- brain,8,
Brain Disturbances,8,
small fiber peripheral neuropathy,8,
spinal fusion,8,
Brain Surgery,8,
brain,8,
Segmental Dysfunction of Sacral Region,8,
Post-Op Brain Surgery,8,
central nervous sensitivity,8,
